content,score
"Toko selalu slow respon, pesan barang selalu tidak segera di kirim, akhirnya pesanan dibatalkan otomatis. Bintang satu karena proses toko buat kirim barang sangat2 lama sekali, beda sama apk lain yg langsung sat set, pagi pesan siang udah dikirim, Klo di lazada ngga, pagi pesan barang, sampe 2 hari gda respon, akhirnya batal pesanan nya. Kecewa!",1
Ingin rasanya kasih zero bintang kalau ada. Dari siang tidak bisa melakukan pembayaran transfer lazada sekaligus. Masa saya harus transfer berpuluh-puluh kali per itemnya. Setiap satu item per setiap check out. Mungkin karena per item selisih lebihnya gede ketimbang check out sekaligus. Ini lazada mau ambil untung tapi tidak patut dicontoh. Kita dibikin ribet. Tidak seperti yg di sebelah,1
"Lazada, klo bisa ada pilihan pengiriman ekspedisi dong! Soalnya klo random gini pas kena ekpedisi yg gak kredibel (karna sekarang banyak ekspedisi yg udah turun dari segi pelayanannya disetiap kota), barang pesanan bisa nyampe hampir 3 mingguan, padahal bukan pengiriman dari luar negeri dan dikirim pun di daerah ibukota provinsi. Kacau banget!!! Apalagi yg kita order itu utk hal kerjaan.",3
"Lazada kualitasnya bagus banget, dari segi penyimpanan lebih kecil dibanding sebelah, lebih ringan pas dijalankan, lebih hemat baterai juga, jarang ngelag. Untuk masalah perbandingan harga/diskon menurutku sama aja. Kudu pinter milih2 event/promo yang berlangsung biar bisa chekout banyak banyak dg harga banting.",5
Tingkat kan keamanan & kualitas nya. Jgn lupa ongkir nya banyak gratis apa lg ada discon.itu paktor utama menarik pelanggan. Pertahan kan ongkir gratis nya ! & tolong di peringan aplikasi nya krn skrg agak berat ! & Taklupa tolong ruang keranjang nya di perluas karna yg ada kurang cukup. Biar nanti ada uang mau beli ga usah nyari lg. Trimakasih semoga menjadi pertimbangan.,4
"Kasih bintang 3 dulu deh, soalnya blm ada pilihan pengirimnya. Soalnya kurirnya kalo beda2 biasa ada yg ngak mau nganter tiba2 di cancel🤣🤣🤣. Jadi kalo bisa pilih pengiriman kan bagus. Bisa pilih kalo ekpedisi ini pasti kurir ini yg nganter kan enak ordernya.",3
Maaf kepada pengurus aplikasi lazada. Tolong di perbaiki data lazada yang mengaitkan ke akulaku. Tolong tingkatkan kenyamanan dan ke amanan nya. Saya merasa di telor ada yang watsapp untuk penagihan Payleter. Sedangkan saya sudah melunasi tiap bulan nya. Tolong perbaiki. Terimakaaih,4
"Hai lazada, Banyak dari kami jatuh hati kekamu selain segi harga lebih murab juga karena tanpa adanya biaya penanganan .. dan pesanan sampai dg selamat .. tp kenapa sekarang kamu ikut-ikutan toko sebelah hingga ada biaya penanganan.a .. itu untuk satu barang . Jika pesanan lebih dari satu barang kamu sama saja dg si oren . Bukan memudahkan tp membebankan .. 😭😭😭😭 Saya kurang nyaman .",4
Kurang baik dari segi cashback nya. Tidak bisa d gunakan dalam segala pembelian (misal: produk digital) Terus kalau pun bisa digunkan ada maks pemakainya. Dan masa berlaku nya lumayan singkat. Padahal dari segi ongkir ke luar pulau jawa lumayan besar yg harus d bayar pembeli. Tidak seperti marketplace lainnya.. Alhasil cashback senilai hampir 500.000 ku hilang 😭,1
"gue turunin jadi bintang 1, mulai 1 agustus skrng ada biaya Layanan tambahan .. ngapain ikut2an kyk Oren dan Ijo segala ada biaya layanan, dr iklan spam google aja udh jadi triliuner, ngapain skrng nambah pake biaya layanan dengan dalih untuk Perawatan Sistem, pret lah, maintenance mah udh jadi kewajiban lu pada yg ngurus , jgn sok berdalih bebanin biaya layanan per transaksi .. Urusin dulu LazMall yg jual barang abal2, baru minta biaya layanan !!!",1
"Saya sangat kecewa dengan aplikasi ini, yg memiliki jasa ekspedisi (n*nja ekspress) yg sangat tidak bertanggung jawab, bisa-bisanya semua pesanan saya dibatalkan sepihak tanpa sepengetahuan saya. Harusnya aplikasi ini memiliki fitur varian ekspedisi",1
"Sekarang ada biaya layangan, biaya tambahan untuk COD juga. Kalo gitu sama aja dong sama sebelah.. niat pindah ke lazada karna murah eh ternyata sama..",2
"Beli dilazada tapi barang tidak sampai , padahal beli udah pertengahan bulan juli sampai sekarang udah ganti bulan sama saja belum sampai , sudah ke agen pengirim tapi katanya dari gudang nya , padahal sebelum nya beli sampai rumah juga tapi kenapa ini ga sampai , sudah komplain sudah pengembalian dana tapi ditolak padahal bener"" belum menerima barang!",1
"Hai lazada saya sudah berlangganan belanja di sini ,alhadulilah barangnya banyak yg sesuai harganya,dan ada juga yg gk sesuai tp cuma beberapa item aja,dan ongkirnya terbilang banyak yg murah,dan yg ongkir mahal hanya barang tertentu,trima kasih lazada bintangnya 5 dari saya 😀",5
"selama saya pakai lazada murah dan gampang belanja dilazada ga ribet belanja, cukup dirumah buka lazada cari deh apa yang kita mau pasti ada. sukses selalu developernya, dan untuk kurir² lazada juga baik dan ramah.",5
Sekarang biaya tambahannya diadain. Sebenernya sih gak masalah. Apalagi gratis ongkirnya dibanyakin. Tapi bakal lebih bagus kalo ongkos kirimnya yang diturunin. Karena lumayan gede sekarang,1
"Lazada lagi kenapa sih..kok suruh login Mulu, padahal kan belum tentu nomer yg di pake login masih di pake, terus kalo suruh login, sedangkan nomernya udah gak ada gimana mau verivikasi, alhasil masukin nomer baru, sedangkan di nomor lama udah ada cashback sampai 20rb'an kan padahal lumayan..ini jadi hilang gara"" suruh login..kayak nya sengaja deh nih lazada..tolong dong, di perbaiki lagi, sia"" saya kumpulin cashback kalau harus hangus gak berfaedah..",3
"Kurang menarik sekarang masak orang cari mimis/peluru senapan ,yang muncul bukan mimis tapi barang lain,ga jelas lagi hasil nya itu tolong lah di perbaiki agar bisa kek dulu lagi 🙏",3
